profile,mechanism,epsilon,delta,n_observations,auc,auc_ci_lo,auc_ci_hi,advantage,advantage_ci_lo,advantage_ci_hi,train_windows,test_windows,train_pool,test_pool,emulated
p1,none,,,1,0.9235568888888888,0.9136984769035431,0.9330737314588993,0.8471137777777775,0.8273969538070862,0.8661474629177985,3000,3000,8000,8000,False
p1,none,,,4,0.9982202222222223,0.9974900558191745,0.9988620421171049,0.9964404444444446,0.994980111638349,0.9977240842342099,3000,3000,8000,8000,False
p1,none,,,16,0.9996664444444444,0.9989830218547361,1.0,0.9993328888888888,0.9979660437094722,1.0,3000,3000,8000,8000,False
p1,none,,,64,1.0,1.0,1.0,1.0,1.0,1.0,3000,3000,8000,8000,False
p1,none,,,256,1.0,1.0,1.0,1.0,1.0,1.0,3000,3000,8000,8000,False
p1,m-pad,,0.0,1,0.5,0.5,0.5,0.0,0.0,0.0,3000,3000,8000,8000,False
p1,m-pad,,0.0,4,0.5,0.5,0.5,0.0,0.0,0.0,3000,3000,8000,8000,False
p1,m-pad,,0.0,16,0.5,0.5,0.5,0.0,0.0,0.0,3000,3000,8000,8000,False
p1,m-pad,,0.0,64,0.5,0.5,0.5,0.0,0.0,0.0,3000,3000,8000,8000,False
p1,m-pad,,0.0,256,0.5,0.5,0.5,0.0,0.0,0.0,3000,3000,8000,8000,False
p1,m-geo,0.1,1e-06,1,0.4997017777777778,0.48123768150434193,0.5190858839273236,0.0005964444444443995,0.03752463699131614,0.038171767854647154,3000,3000,8000,8000,False
p1,m-geo,0.1,1e-06,4,0.5162464444444445,0.4960912514254057,0.5358634995986207,0.032492888888888904,0.007817497149188557,0.07172699919724135,3000,3000,8000,8000,False
p1,m-geo,0.1,1e-06,16,0.5253153333333334,0.5040021291945666,0.5453642025765671,0.05063066666666671,0.008004258389133101,0.0907284051531343,3000,3000,8000,8000,False
p1,m-geo,0.1,1e-06,64,0.5156277777777778,0.4946902121313689,0.5374856574794235,0.03125555555555559,0.010619575737262243,0.0749713149588469,3000,3000,8000,8000,False
p1,m-geo,0.1,1e-06,256,0.5580548888888889,0.5380830494297713,0.5779629866584454,0.11610977777777776,0.07616609885954251,0.15592597331689073,3000,3000,8000,8000,False
p1,m-bucket,0.1,1e-06,1,0.5043333333333333,0.5020160951818714,0.5068541220904123,0.0086666666666666,0.004032190363742805,0.013708244180824503,3000,3000,8000,8000,False
p1,m-bucket,0.1,1e-06,4,0.5166542222222222,0.5119916576263782,0.5215508845610873,0.033308444444444474,0.023983315252756432,0.04310176912217467,3000,3000,8000,8000,False
p1,m-bucket,0.1,1e-06,16,0.5652808888888888,0.5560170966803175,0.5749119641966285,0.13056177777777767,0.11203419336063503,0.14982392839325698,3000,3000,8000,8000,False
p1,m-bucket,0.1,1e-06,64,0.68804,0.674623371647764,0.7022499822009989,0.37607999999999997,0.34924674329552796,0.40449996440199776,3000,3000,8000,8000,False
