cover_rate_hz,auc,advantage,bandwidth_overhead_pct,mean_total_bytes,message_bytes,trials
0.000,1.000000,1.000000,0.000,5239.5,520,1000
0.500,0.999927,0.999855,51.201,7840.0,520,1000
1.000,0.999100,0.998201,101.157,10446.0,520,1000
2.000,0.994916,0.989832,199.565,15565.7,520,1000
5.000,0.968550,0.937100,505.746,31193.2,520,1000
10.000,0.927105,0.854210,1004.298,57251.2,520,1000
25.000,0.822275,0.644549,2485.476,135379.1,520,1000
50.000,0.739169,0.478338,5024.632,265375.0,520,1000
100.000,0.663975,0.327950,9987.645,525213.3,520,1000
200.000,0.628541,0.257082,20077.565,1045246.3,520,1000
