mechanism,attack,epsilon,delta,n_observations,trials,seed,auc,advantage,advantage_ci_lo,advantage_ci_hi,auc_ci_lo,auc_ci_hi,train_pool,test_pool,mean_release_ns,sensitivity_ns,bin_ns
none,likelihood-ratio,inf,,1,1000,0,0.915717,0.831434,0.805593,0.858041,0.902797,0.929021,2000,2000,1728680.2,509626,7771
none,likelihood-ratio,inf,,1,1000,1,0.916376,0.832752,0.806076,0.858157,0.903038,0.929079,2000,2000,1730012.1,509626,7813
none,likelihood-ratio,inf,,1,1000,2,0.925136,0.850272,0.827252,0.871770,0.913626,0.935885,2000,2000,1727306.1,509626,7852
none,mean-threshold,inf,,1,1500,0,0.095481,0.809039,0.783386,0.832928,0.083536,0.108307,2000,2000,1729383.3,509626,7771
none,mean-threshold,inf,,1,1500,1,0.101169,0.797663,0.772765,0.820770,0.089615,0.113617,2000,2000,1729641.6,509626,7813
none,mean-threshold,inf,,1,1000,2,0.097669,0.804662,0.773467,0.833152,0.083424,0.113267,2000,2000,1727306.1,509626,7852
none,likelihood-ratio,inf,,4,1000,0,0.998591,0.997182,0.995096,0.998730,0.997548,0.999365,2000,2000,1729302.9,509626,7771
none,likelihood-ratio,inf,,4,1000,1,0.998799,0.997599,0.996012,0.998835,0.998006,0.999417,2000,2000,1729259.7,509626,7813
none,likelihood-ratio,inf,,4,1000,2,0.997243,0.994486,0.991118,0.997176,0.995559,0.998588,2000,2000,1728616.0,509626,7852
none,mean-threshold,inf,,4,1000,0,0.007607,0.984785,0.978966,0.989827,0.005086,0.010517,2000,2000,1729302.9,509626,7771
none,mean-threshold,inf,,4,1000,1,0.009694,0.980612,0.974095,0.986688,0.006656,0.012953,2000,2000,1729259.7,509626,7813
none,mean-threshold,inf,,4,1000,2,0.013321,0.973358,0.963467,0.981983,0.009008,0.018267,2000,2000,1728616.0,509626,7852
none,likelihood-ratio,inf,,16,1000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728855.8,509626,7771
none,likelihood-ratio,inf,,16,1000,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728698.6,509626,7813
none,likelihood-ratio,inf,,16,1000,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728704.0,509626,7852
none,mean-threshold,inf,,16,1000,0,0.000001,0.999998,0.999988,1.000000,0.000000,0.000006,2000,2000,1728855.8,509626,7771
none,mean-threshold,inf,,16,1000,1,0.000018,0.999964,0.999882,1.000000,0.000000,0.000059,2000,2000,1728698.6,509626,7813
none,mean-threshold,inf,,16,1000,2,0.000049,0.999902,0.999658,1.000000,0.000000,0.000171,2000,2000,1728704.0,509626,7852
none,likelihood-ratio,inf,,64,1000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728639.0,509626,7771
none,likelihood-ratio,inf,,64,1000,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728865.6,509626,7813
none,likelihood-ratio,inf,,64,1000,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728885.0,509626,7852
none,mean-threshold,inf,,64,1000,0,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728639.0,509626,7771
none,mean-threshold,inf,,64,1000,1,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728865.6,509626,7813
none,mean-threshold,inf,,64,1000,2,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728885.0,509626,7852
none,likelihood-ratio,inf,,256,1000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728824.5,509626,7771
none,likelihood-ratio,inf,,256,1000,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728812.5,509626,7813
none,likelihood-ratio,inf,,256,1000,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,1728807.6,509626,7852
none,mean-threshold,inf,,256,1000,0,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728824.5,509626,7771
none,mean-threshold,inf,,256,1000,1,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728812.5,509626,7813
none,mean-threshold,inf,,256,1000,2,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,1728807.6,509626,7852
m-pad,likelihood-ratio,0,0,1,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,1,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,1,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,1,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,1,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,1,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,4,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,4,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,4,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,4,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,4,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,4,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,16,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,16,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,16,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,16,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,16,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,16,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,64,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,64,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,64,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,64,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,64,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,64,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,256,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,256,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,likelihood-ratio,0,0,256,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,256,1000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,256,1000,1,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-pad,mean-threshold,0,0,256,1000,2,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,2000,2000,2510084.0,509626,1
m-geo,likelihood-ratio,0.1,0.000001,1,1000,0,0.509761,0.019523,0.032017,0.072451,0.483992,0.536226,2000,2000,68378545.6,509626,662545
m-geo,likelihood-ratio,0.1,0.000001,1,1000,1,0.499882,0.000236,0.050029,0.050446,0.474986,0.525223,2000,2000,68725924.7,509626,670567
m-geo,likelihood-ratio,0.1,0.000001,1,1000,2,0.501957,0.003914,0.046249,0.056921,0.476876,0.528460,2000,2000,68434397.7,509626,663878
m-geo,mean-threshold,0.1,0.000001,1,1000,0,0.509180,0.018360,0.032080,0.071090,0.483960,0.535545,2000,2000,68378545.6,509626,662545
m-geo,mean-threshold,0.1,0.000001,1,3000,1,0.484374,0.031253,0.003447,0.058828,0.470586,0.498277,2000,2000,68631086.5,509626,670567
m-geo,mean-threshold,0.1,0.000001,1,1000,2,0.494459,0.011082,0.037080,0.062166,0.468917,0.518540,2000,2000,68434397.7,509626,663878
m-geo,likelihood-ratio,0.1,0.000001,4,1500,0,0.511009,0.022017,0.018330,0.061984,0.490835,0.530992,2000,2000,68638192.0,509626,662545
m-geo,likelihood-ratio,0.1,0.000001,4,1000,1,0.508823,0.017646,0.034481,0.068573,0.482760,0.534286,2000,2000,68656802.8,509626,670567
m-geo,likelihood-ratio,0.1,0.000001,4,1500,2,0.514716,0.029432,0.009588,0.068283,0.495206,0.534142,2000,2000,68580028.4,509626,663878
m-geo,mean-threshold,0.1,0.000001,4,1000,0,0.496570,0.006860,0.045074,0.059154,0.470423,0.522537,2000,2000,68626437.7,509626,662545
m-geo,mean-threshold,0.1,0.000001,4,1500,1,0.510044,0.020089,0.020662,0.062662,0.489669,0.531331,2000,2000,68589480.6,509626,670567
m-geo,mean-threshold,0.1,0.000001,4,1000,2,0.496472,0.007056,0.043938,0.056458,0.471771,0.521969,2000,2000,68585658.3,509626,663878
m-geo,likelihood-ratio,0.1,0.000001,16,1000,0,0.503712,0.007424,0.043312,0.059234,0.478344,0.529617,2000,2000,68641820.9,509626,662545
m-geo,likelihood-ratio,0.1,0.000001,16,1000,1,0.486560,0.026880,0.021482,0.077426,0.461287,0.510741,2000,2000,68598129.6,509626,670567
m-geo,likelihood-ratio,0.1,0.000001,16,1000,2,0.488814,0.022372,0.029306,0.074640,0.462680,0.514653,2000,2000,68577589.7,509626,663878
m-geo,mean-threshold,0.1,0.000001,16,3000,0,0.476734,0.046532,0.017157,0.076859,0.461571,0.491421,2000,2000,68633321.5,509626,662545
m-geo,mean-threshold,0.1,0.000001,16,1000,1,0.487567,0.024866,0.026704,0.077994,0.461003,0.513352,2000,2000,68598129.6,509626,670567
m-geo,mean-threshold,0.1,0.000001,16,3000,2,0.480885,0.038231,0.008142,0.066470,0.466765,0.495929,2000,2000,68601118.1,509626,663878
m-geo,likelihood-ratio,0.1,0.000001,64,3500,0,0.518766,0.037531,0.012078,0.064292,0.506039,0.532146,2000,2000,68605549.0,509626,662545
m-geo,likelihood-ratio,0.1,0.000001,64,1500,1,0.513992,0.027984,0.014267,0.069321,0.492867,0.534660,2000,2000,68596909.4,509626,670567
m-geo,likelihood-ratio,0.1,0.000001,64,1000,2,0.497762,0.004476,0.045112,0.053990,0.473005,0.522556,2000,2000,68596469.6,509626,663878
m-geo,mean-threshold,0.1,0.000001,64,3000,0,0.468771,0.062458,0.033827,0.092401,0.453799,0.483087,2000,2000,68603524.4,509626,662545
m-geo,mean-threshold,0.1,0.000001,64,3000,1,0.477915,0.044170,0.013785,0.073462,0.463269,0.493108,2000,2000,68613136.8,509626,670567
m-geo,mean-threshold,0.1,0.000001,64,3000,2,0.464152,0.071696,0.042916,0.102552,0.448724,0.478542,2000,2000,68594992.5,509626,663878
m-geo,likelihood-ratio,0.1,0.000001,256,3000,0,0.530087,0.060173,0.031458,0.088390,0.515729,0.544195,2000,2000,68603921.2,509626,662545
m-geo,likelihood-ratio,0.1,0.000001,256,1000,1,0.494310,0.011380,0.037200,0.060706,0.469647,0.518600,2000,2000,68614129.9,509626,670567
m-geo,likelihood-ratio,0.1,0.000001,256,1000,2,0.501694,0.003388,0.045304,0.052444,0.477348,0.526222,2000,2000,68600139.5,509626,663878
m-geo,mean-threshold,0.1,0.000001,256,3000,0,0.450106,0.099789,0.070985,0.127954,0.436023,0.464508,2000,2000,68603921.2,509626,662545
m-geo,mean-threshold,0.1,0.000001,256,3000,1,0.447532,0.104936,0.076507,0.132953,0.433524,0.461747,2000,2000,68604956.8,509626,670567
m-geo,mean-threshold,0.1,0.000001,256,3000,2,0.448449,0.103103,0.074833,0.132297,0.433852,0.462583,2000,2000,68597308.7,509626,663878
m-bucket,likelihood-ratio,0.1,0.000001,1,1000,0,0.505005,0.010011,0.003028,0.017018,0.501514,0.508509,2000,2000,35160371.8,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,1,1000,1,0.507015,0.014030,0.006024,0.022046,0.503012,0.511023,2000,2000,35157314.0,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,1,1000,2,0.502500,0.005000,0.001000,0.010000,0.500500,0.505000,2000,2000,35162919.9,509626,1
m-bucket,mean-threshold,0.1,0.000001,1,1000,0,0.495005,0.009989,0.003000,0.017000,0.491500,0.498500,2000,2000,35160371.8,509626,1
m-bucket,mean-threshold,0.1,0.000001,1,1000,1,0.493016,0.013968,0.005960,0.022000,0.489000,0.497020,2000,2000,35157314.0,509626,1
m-bucket,mean-threshold,0.1,0.000001,1,1000,2,0.497500,0.005000,0.001000,0.010000,0.495000,0.499500,2000,2000,35162919.9,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,4,1000,0,0.521521,0.043041,0.031028,0.056112,0.515514,0.528056,2000,2000,35159288.8,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,4,1000,1,0.520110,0.040220,0.027112,0.054054,0.513556,0.527027,2000,2000,35158715.5,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,4,1000,2,0.514527,0.029054,0.018063,0.041000,0.509031,0.520500,2000,2000,35159925.9,509626,1
m-bucket,mean-threshold,0.1,0.000001,4,1000,0,0.478519,0.042962,0.030934,0.056000,0.472000,0.484533,2000,2000,35159288.8,509626,1
m-bucket,mean-threshold,0.1,0.000001,4,1000,1,0.480109,0.039782,0.026762,0.053453,0.473274,0.486619,2000,2000,35158715.5,509626,1
m-bucket,mean-threshold,0.1,0.000001,4,1000,2,0.485512,0.028976,0.017979,0.040932,0.479534,0.491011,2000,2000,35159925.9,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,16,1000,0,0.565536,0.131072,0.110448,0.153462,0.555224,0.576731,2000,2000,35159209.2,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,16,1000,1,0.564133,0.128266,0.107832,0.150296,0.553916,0.575148,2000,2000,35160451.4,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,16,1000,2,0.569839,0.139677,0.116743,0.161412,0.558372,0.580706,2000,2000,35158827.0,509626,1
m-bucket,mean-threshold,0.1,0.000001,16,1000,0,0.435513,0.128974,0.108631,0.151563,0.424218,0.445684,2000,2000,35159209.2,509626,1
m-bucket,mean-threshold,0.1,0.000001,16,1000,1,0.436258,0.127483,0.106892,0.149696,0.425152,0.446554,2000,2000,35160451.4,509626,1
m-bucket,mean-threshold,0.1,0.000001,16,1000,2,0.431969,0.136062,0.113965,0.158226,0.420887,0.443018,2000,2000,35158827.0,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,64,1500,0,0.713537,0.427073,0.401029,0.454711,0.700515,0.727355,2000,2000,35159177.4,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,64,1500,1,0.710936,0.421872,0.395816,0.448826,0.697908,0.724413,2000,2000,35159365.8,509626,1
