group,name,iterations,median_ns,mean_ns,ci95_lo_ns,ci95_hi_ns,min_ns,p99_ns,bytes,memory_bytes,below_clock_resolution,L,R,backend,baseline,batch_size,chain_depth,delta,disclosure_fraction,entries,epsilon,escrow,escrow_ms,fp_analytic,fp_measured,fp_target,k,layer1_ms,mean_delay_ns,mechanism,mode,modexps,n,n_authorities,n_batch,n_disclosed,n_hashes,path,quantum_ns,reduced_iterations,replay_ms,revocation_ms,sensitivity_ns,shift_ns,special_rsa_modulus,t_max_ns,truncation_delta,unattributed_ms,variant,worst_case_delay_ns
primitive,hash-to-g2,1000,224208.000,223526.967,224125.000,224291.000,200709.000,269000.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primitive,hash-to-g1,1000,91334.000,93428.119,90541.000,92250.000,88291.000,110167.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primitive,bls-sign,1000,467250.000,466197.624,467000.000,467625.000,418417.000,527542.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primitive,bls-verify,1000,875375.000,874566.562,873834.000,877000.000,767458.000,950417.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primitive,bls-batch-verify,1000,1341833.000,1339784.367,1340791.000,1343167.000,1191250.000,1414542.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
primitive,bls-batch-verify,1000,8532125.000,8488371.634,8523167.000,8540000.000,7899333.000,8796459.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
primitive,bls-batch-verify,1000,40624250.000,40528162.112,40574709.000,40679750.000,38564542.000,41938875.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
primitive,bls-batch-verify,1000,80600000.000,80664393.208,80542084.000,80662042.000,77772125.000,84017750.000,,,false,,,arkworks,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
primitive,threshold-bls-partial-sign,1000,489458.000,490469.679,489250.000,489833.000,436750.000,542667.000,,,false,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,
primitive,threshold-bls-combine,1000,269458.000,270882.951,269375.000,269500.000,241083.000,298250.000,,,false,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,
