vehicles,cores,seed,completion_rate,loss_rate,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,max_queue_depth,utilization,deadline_ns,mean_verify_ns
20,1,1,1.000000,0.000000,4939775,11403263,13918207,13918207,13918207,4,0.584269,100000000,2905894.0
20,1,2,1.000000,0.000000,3590143,8945663,9699327,9699327,9699327,3,0.566710,100000000,2905894.0
20,1,3,1.000000,0.000000,6119423,8294399,10002431,10002431,10002431,3,0.600376,100000000,2905894.0
20,1,4,1.000000,0.000000,3428351,4517887,5472255,5472255,5472255,1,0.566982,100000000,2905894.0
20,1,5,1.000000,0.000000,3520511,8175615,13385727,13385727,13385727,4,0.593139,100000000,2905894.0
20,1,6,1.000000,0.000000,3500031,5947391,6459391,6459391,6459391,1,0.571254,100000000,2905894.0
20,1,7,1.000000,0.000000,6139903,8970239,12541951,12541951,12541951,4,0.548311,100000000,2905894.0
20,1,8,0.950000,0.050000,3549183,6090751,8056831,8056831,8056831,2,0.542096,100000000,2905894.0
20,1,9,1.000000,0.000000,3555327,7008255,9379839,9379839,9379839,3,0.601030,100000000,2905894.0
20,1,10,1.000000,0.000000,4706303,6197247,7237631,7237631,7237631,2,0.541216,100000000,2905894.0
20,2,1,1.000000,0.000000,3395583,4321279,5324799,5324799,5324799,2,0.302774,100000000,2905894.0
20,2,2,1.000000,0.000000,3401727,3723263,4255743,4255743,4255743,1,0.291958,100000000,2905894.0
20,2,3,1.000000,0.000000,3471359,3616767,5869567,5869567,5869567,2,0.305344,100000000,2905894.0
20,2,4,1.000000,0.000000,3395583,3473407,3540991,3540991,3540991,0,0.286951,100000000,2905894.0
20,2,5,1.000000,0.000000,3381247,5271551,7544831,7544831,7544831,3,0.296980,100000000,2905894.0
20,2,6,1.000000,0.000000,3467263,3524607,3569663,3569663,3569663,0,0.285712,100000000,2905894.0
20,2,7,1.000000,0.000000,3389439,4415487,4829183,4829183,4829183,1,0.287288,100000000,2905894.0
20,2,8,0.950000,0.050000,3371007,3547135,3549183,3549183,3549183,0,0.272533,100000000,2905894.0
20,2,9,1.000000,0.000000,3442687,3624959,4579327,4579327,4579327,2,0.300221,100000000,2905894.0
20,2,10,1.000000,0.000000,3362815,3561471,4571135,4571135,4571135,1,0.278905,100000000,2905894.0
20,4,1,1.000000,0.000000,3375103,3520511,3641343,3641343,3641343,0,0.151247,100000000,2905894.0
20,4,2,1.000000,0.000000,3399679,3469311,3723263,3723263,3723263,0,0.146073,100000000,2905894.0
20,4,3,1.000000,0.000000,3463167,3534847,3616767,3616767,3616767,0,0.153021,100000000,2905894.0
20,4,4,1.000000,0.000000,3395583,3473407,3540991,3540991,3540991,0,0.143475,100000000,2905894.0
20,4,5,1.000000,0.000000,3381247,3522559,4681727,4681727,4681727,1,0.148635,100000000,2905894.0
20,4,6,1.000000,0.000000,3467263,3524607,3569663,3569663,3569663,0,0.142856,100000000,2905894.0
20,4,7,1.000000,0.000000,3389439,3563519,4481023,4481023,4481023,0,0.143644,100000000,2905894.0
20,4,8,0.950000,0.050000,3371007,3547135,3549183,3549183,3549183,0,0.136267,100000000,2905894.0
20,4,9,1.000000,0.000000,3440639,3555327,3624959,3624959,3624959,0,0.150111,100000000,2905894.0
20,4,10,1.000000,0.000000,3362815,3557375,3590143,3590143,3590143,0,0.140831,100000000,2905894.0
20,8,1,1.000000,0.000000,3375103,3520511,3641343,3641343,3641343,0,0.075623,100000000,2905894.0
