agents,cores,seed,achieved_throughput_hz,analytic_ceiling_hz,throughput_per_core_hz,offered_load_ratio,utilization,max_queue_depth,p50_ns,p99_ns,issuance_rate_hz,issuance_cpu_load,presentation_bytes,issuance_bytes,cover_bytes,total_bytes,aggregate_bps,cover_overhead_pct
1000,8,1,20.967,2750.990,2.621,0.0076,0.0076,0,2920447,3061759,1.667,0.5699,1308320,6880000,0,8188320,68236.0,0.000
1000,8,2,20.900,2750.990,2.612,0.0076,0.0076,0,2918399,3022847,1.667,0.5699,1304160,6880000,0,8184160,68201.3,0.000
1000,8,3,20.900,2750.990,2.612,0.0076,0.0076,0,2920447,3031039,1.667,0.5699,1304160,6880000,0,8184160,68201.3,0.000
10000,8,1,210.175,2750.990,26.272,0.0764,0.0764,0,2920447,3031039,16.667,5.6987,13115440,68800000,0,81915440,682628.7,0.000
10000,8,2,209.692,2750.990,26.211,0.0762,0.0762,0,2920447,3041279,16.667,5.6987,13084760,68800000,0,81884760,682373.0,0.000
10000,8,3,210.175,2750.990,26.272,0.0764,0.0764,0,2918399,3045375,16.667,5.6987,13115960,68800000,0,81915960,682633.0,0.000
100000,8,1,2101.375,2750.990,262.672,0.7639,0.7639,3109,2979839,1041760255,166.667,56.9873,131127360,688000000,0,819127360,6826061.3,0.000
100000,8,2,2101.025,2750.990,262.628,0.7637,0.7637,2992,2977791,980942847,166.667,56.9873,131106040,688000000,0,819106040,6825883.7,0.000
100000,8,3,2101.217,2750.990,262.652,0.7638,0.7639,3071,2979839,975699967,166.667,56.9873,131119040,688000000,0,819119040,6825992.0,0.000
10000,8,500,209.900,2750.990,26.238,0.0763,0.0763,0,2920447,3045375,16.667,5.6987,13097760,68800000,31200000,113097760,942481.3,238.209
10000,8,501,210.467,2750.990,26.308,0.0765,0.0765,0,2918399,3045375,16.667,5.6987,13133120,68800000,31200000,113133120,942776.0,237.567
10000,8,502,210.442,2750.990,26.305,0.0765,0.0765,0,2920447,3045375,16.667,5.6987,13131560,68800000,31200000,113131560,942763.0,237.596
