sweep,outage_minutes,epoch_minutes,lookahead_epochs,n_batch,seed,failure_rate,expiry_failure_rate,exhaustion_failure_rate,attempt_failure_rate,mean_time_to_failure_secs,revocation_latency_secs
epoch,1,1,0,100,1,0.747100,0.747100,0.000000,0.747100,46.674,60
epoch,1,1,0,100,2,0.750500,0.750500,0.000000,0.750500,46.734,60
epoch,1,1,0,100,3,0.747200,0.747200,0.000000,0.747200,46.830,60
epoch,1,1,0,100,4,0.747400,0.747400,0.000000,0.747400,46.605,60
epoch,1,1,0,100,5,0.749400,0.749400,0.000000,0.749400,46.524,60
epoch,1,1,0,100,6,0.745700,0.745700,0.000000,0.745700,46.597,60
epoch,1,1,0,100,7,0.753150,0.753150,0.000000,0.753150,46.728,60
epoch,1,1,0,100,8,0.748700,0.748700,0.000000,0.748700,46.574,60
epoch,1,1,0,100,9,0.751750,0.751750,0.000000,0.751750,46.726,60
epoch,1,1,0,100,10,0.755500,0.755500,0.000000,0.755500,46.743,60
epoch,1,5,0,100,1,0.145900,0.145900,0.000000,0.145900,46.516,300
epoch,1,5,0,100,2,0.152650,0.152650,0.000000,0.152650,47.035,300
epoch,1,5,0,100,3,0.146500,0.146500,0.000000,0.146500,46.508,300
epoch,1,5,0,100,4,0.148100,0.148100,0.000000,0.148100,46.629,300
epoch,1,5,0,100,5,0.152850,0.152850,0.000000,0.152850,46.275,300
epoch,1,5,0,100,6,0.148950,0.148950,0.000000,0.148950,46.697,300
epoch,1,5,0,100,7,0.145400,0.145400,0.000000,0.145400,46.672,300
epoch,1,5,0,100,8,0.150550,0.150550,0.000000,0.150550,46.722,300
epoch,1,5,0,100,9,0.151600,0.151600,0.000000,0.151600,46.722,300
epoch,1,5,0,100,10,0.146200,0.146200,0.000000,0.146200,46.965,300
epoch,1,10,0,100,1,0.074200,0.074200,0.000000,0.074200,46.126,600
epoch,1,10,0,100,2,0.075450,0.075450,0.000000,0.075450,46.758,600
epoch,1,10,0,100,3,0.077050,0.077050,0.000000,0.077050,46.234,600
epoch,1,10,0,100,4,0.072750,0.072750,0.000000,0.072750,46.649,600
epoch,1,10,0,100,5,0.072800,0.072800,0.000000,0.072800,46.463,600
epoch,1,10,0,100,6,0.074300,0.074300,0.000000,0.074300,46.587,600
epoch,1,10,0,100,7,0.076400,0.076400,0.000000,0.076400,46.263,600
epoch,1,10,0,100,8,0.078700,0.078700,0.000000,0.078700,46.450,600
epoch,1,10,0,100,9,0.073550,0.073550,0.000000,0.073550,46.715,600
epoch,1,10,0,100,10,0.077000,0.077000,0.000000,0.077000,46.241,600
epoch,1,30,0,100,1,0.025550,0.025550,0.000000,0.025550,46.284,1800
epoch,1,30,0,100,2,0.027500,0.027500,0.000000,0.027500,46.157,1800
epoch,1,30,0,100,3,0.025500,0.025500,0.000000,0.025500,46.357,1800
epoch,1,30,0,100,4,0.023450,0.023450,0.000000,0.023450,46.627,1800
epoch,1,30,0,100,5,0.023900,0.023900,0.000000,0.023900,46.988,1800
epoch,1,30,0,100,6,0.024750,0.024750,0.000000,0.024750,46.484,1800
epoch,1,30,0,100,7,0.025350,0.025350,0.000000,0.025350,47.049,1800
