mode,adversary,agents,sessions_per_agent,seed,trials,advantage,accuracy,true_positive_rate,false_positive_rate
mode-a,verifier-only,25,6,1,5000,0.000000,0.497200,0.000000,0.000000
mode-a,issuer-colluding,25,6,1,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,1,5000,0.000000,0.497200,0.000000,0.000000
mode-b,issuer-colluding,25,6,1,5000,0.000000,0.494800,0.000000,0.000000
mode-a,verifier-only,25,6,2,5000,0.000000,0.498600,0.000000,0.000000
mode-a,issuer-colluding,25,6,2,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,2,5000,0.000000,0.498600,0.000000,0.000000
mode-b,issuer-colluding,25,6,2,5000,0.000000,0.496400,0.000000,0.000000
mode-a,verifier-only,25,6,3,5000,0.000000,0.490600,0.000000,0.000000
mode-a,issuer-colluding,25,6,3,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,3,5000,0.000000,0.490600,0.000000,0.000000
mode-b,issuer-colluding,25,6,3,5000,0.000000,0.489600,0.000000,0.000000
mode-a,verifier-only,25,6,4,5000,0.000000,0.492600,0.000000,0.000000
mode-a,issuer-colluding,25,6,4,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,4,5000,0.000000,0.492600,0.000000,0.000000
mode-b,issuer-colluding,25,6,4,5000,0.000000,0.503200,0.000000,0.000000
mode-a,verifier-only,25,6,5,5000,0.000000,0.504200,0.000000,0.000000
mode-a,issuer-colluding,25,6,5,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,5,5000,0.000000,0.504200,0.000000,0.000000
mode-b,issuer-colluding,25,6,5,5000,0.000000,0.503000,0.000000,0.000000
mode-a,verifier-only,25,6,6,5000,0.000000,0.493600,0.000000,0.000000
mode-a,issuer-colluding,25,6,6,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,6,5000,0.000000,0.493600,0.000000,0.000000
mode-b,issuer-colluding,25,6,6,5000,0.000000,0.508000,0.000000,0.000000
mode-a,verifier-only,25,6,7,5000,0.000000,0.496400,0.000000,0.000000
mode-a,issuer-colluding,25,6,7,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,7,5000,0.000000,0.496400,0.000000,0.000000
mode-b,issuer-colluding,25,6,7,5000,0.000000,0.509000,0.000000,0.000000
mode-a,verifier-only,25,6,8,5000,0.000000,0.496000,0.000000,0.000000
mode-a,issuer-colluding,25,6,8,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,8,5000,0.000000,0.496000,0.000000,0.000000
mode-b,issuer-colluding,25,6,8,5000,0.000000,0.497800,0.000000,0.000000
mode-a,verifier-only,25,6,9,5000,0.000000,0.508800,0.000000,0.000000
mode-a,issuer-colluding,25,6,9,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,9,5000,0.000000,0.508800,0.000000,0.000000
mode-b,issuer-colluding,25,6,9,5000,0.000000,0.516000,0.000000,0.000000
mode-a,verifier-only,25,6,10,5000,0.000000,0.497000,0.000000,0.000000
mode-a,issuer-colluding,25,6,10,5000,1.000000,1.000000,1.000000,0.000000
mode-b,verifier-only,25,6,10,5000,0.000000,0.497000,0.000000,0.000000
mode-b,issuer-colluding,25,6,10,5000,0.000000,0.504400,0.000000,0.000000
